City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,19.13,80,4,9.51,clear sky
318,Te Anau,NZ,-45.4167,167.7167,50.61,87,97,3.36,overcast clouds
319,Kaseda,JP,31.4167,130.3167,54.41,73,0,14.81,clear sky
320,Ayan,RU,56.45,138.1667,14.5,52,2,11.86,clear sky
321,Dunedin,NZ,-45.8742,170.5036,55.45,80,8,3.31,clear sky
322,Kisangani,CD,0.5167,25.2,73.15,96,100,3.29,overcast clouds
323,Teguise,ES,29.0605,-13.564,61.02,88,20,6.91,few clouds
324,Mayna,RU,54.1135,47.6231,20.97,74,100,16.55,overcast clouds
325,Mazyr,BY,52.0495,29.2456,21.88,93,100,10.54,overcast clouds
326,Flinders,AU,-34.5833,150.8552,64.2,86,100,11.83,overcast clouds
327,Belmonte,BR,-15.8631,-38.8828,81.1,74,75,11.48,moderate rain
328,Salalah,OM,17.0151,54.0924,75.29,38,0,5.75,clear sky
329,Raichur,IN,16.2,77.3667,73.27,57,29,5.93,scattered clouds
330,Geraldton,AU,-28.7667,114.6,68.41,88,0,8.05,clear sky
331,Ende,ID,-8.8432,121.6623,79.16,88,100,6.46,overcast clouds
332,Wonthaggi,AU,-38.6044,145.5913,55.71,68,65,10.96,broken clouds
333,Praya,CV,14.9215,-23.5087,77.54,65,75,20.71,broken clouds
334,Qingquan,CN,30.4511,115.2559,49.64,59,100,3.18,overcast clouds
335,Pucallpa,PE,-8.3791,-74.5539,86.04,62,75,3.44,broken clouds
336,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,20.71,broken clouds
337,Lovozero,RU,68.005,35.0117,-4.38,89,2,2.44,clear sky
338,Kuito,AO,-12.3833,16.9333,59.31,94,9,3.44,clear sky
339,Salym,RU,60.0625,71.4789,-7.46,97,81,5.28,broken clouds
340,Palmer,US,42.1584,-72.3287,41.61,48,75,3.0,broken clouds
341,Yuryevets,RU,57.3201,43.1041,26.94,94,100,21.34,snow
342,Musafirkhana,IN,26.3667,81.8,62.17,45,0,6.62,clear sky
343,Nago,JP,26.5881,127.9761,66.36,58,3,13.27,clear sky
344,Margate,GB,51.3813,1.3862,47.91,92,100,8.01,light rain
345,Novoagansk,RU,61.9449,76.6625,-1.44,97,98,10.25,overcast clouds
346,Nantucket,US,41.2835,-70.0995,45.97,52,100,11.12,overcast clouds
