City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Coutances,FR,2021-12-03 00:20:01,49.05,-1.4333,42.89,79,27,5.57
180,Fortuna,US,2021-12-03 00:20:02,40.5982,-124.1573,52.93,95,90,0.0
181,Clyde River,CA,2021-12-03 00:20:02,70.4692,-68.5914,-3.77,84,99,4.61
182,Seltso,RU,2021-12-03 00:20:03,53.3675,34.1,32.49,100,100,8.95
183,Ust-Kuyga,RU,2021-12-03 00:20:03,70.0167,135.6,-44.64,100,100,1.21
184,Gibraleon,ES,2021-12-03 00:20:03,37.3763,-6.969,49.01,50,0,7.0
185,Pochutla,MX,2021-12-03 00:21:04,15.7432,-96.4661,84.02,71,46,3.69
186,Deer Lake,CA,2021-12-03 00:21:04,49.1667,-57.4316,31.86,93,90,6.91
187,San Jeronimo,PE,2021-12-03 00:21:04,-11.9472,-75.2829,49.23,93,100,4.36
188,Dong Hoi,VN,2021-12-03 00:19:49,17.4833,106.6,62.51,73,31,10.07
189,Belen,TR,2021-12-03 00:21:05,36.4891,36.2233,35.74,81,20,3.44
190,Sosnogorsk,RU,2021-12-03 00:21:05,63.6023,53.8817,17.69,95,100,5.79
191,Katsuura,JP,2021-12-03 00:21:06,35.1333,140.3,58.19,68,93,11.72
192,Oyem,GA,2021-12-03 00:21:06,1.5995,11.5793,68.27,98,64,2.77
193,Buala,SB,2021-12-03 00:21:06,-8.145,159.5921,86.34,64,97,1.66
194,Puerto Quijarro,BO,2021-12-03 00:21:07,-17.7833,-57.7667,82.89,68,99,2.66
195,Balabac,PH,2021-12-03 00:21:07,7.9868,117.0645,78.71,86,100,13.15
196,Pevek,RU,2021-12-03 00:21:07,69.7008,170.3133,12.47,82,100,14.32
197,San Policarpo,PH,2021-12-03 00:21:08,12.1791,125.5072,80.51,76,100,18.5
198,Sinazongwe,ZM,2021-12-03 00:21:08,-17.2614,27.4618,80.02,44,0,5.19
199,Henderson,US,2021-12-03 00:16:37,36.0397,-114.9819,71.04,24,1,5.75
200,Labuhan,ID,2021-12-03 00:21:09,-6.8844,112.2051,78.6,88,100,5.68
201,Mikuni,JP,2021-12-03 00:21:09,36.2171,136.1519,49.91,65,41,16.13
202,Piracuruca,BR,2021-12-03 00:21:09,-3.9281,-41.7092,81.86,71,95,6.58
203,Los Llanos De Aridane,ES,2021-12-03 00:21:09,28.6585,-17.9182,62.35,78,40,5.01
204,Tautira,PF,2021-12-03 00:21:10,-17.7333,-149.15,86.02,74,47,20.71
205,Nortelandia,BR,2021-12-03 00:21:10,-14.4547,-56.8028,75.81,92,89,2.8
206,Sioux Lookout,CA,2021-12-03 00:21:10,50.1001,-91.917,16.18,92,90,3.44
207,Price,US,2021-12-03 00:21:11,39.5994,-110.8107,53.73,37,1,4.61
208,Hoyanger,NO,2021-12-03 00:21:11,61.2204,6.0749,29.59,89,89,5.01
209,Collie,AU,2021-12-03 00:21:11,-33.3667,116.15,60.98,50,0,12.46
210,Luwingu,ZM,2021-12-03 00:21:12,-10.2621,29.9271,65.62,70,52,3.44
211,Mahenge,TZ,2021-12-03 00:21:12,-8.6833,36.7167,61.99,91,69,2.89
212,Komsomolskiy,UZ,2021-12-03 00:21:12,40.4272,71.7189,42.22,48,100,6.91
213,Bojnurd,IR,2021-12-03 00:21:13,37.4747,57.329,44.55,81,90,13.8
214,Hilo,US,2021-12-03 00:17:52,19.7297,-155.09,82.13,77,40,8.05
215,Willowmore,ZA,2021-12-03 00:21:13,-33.2926,23.4895,50.0,74,66,4.34
216,Exeter,GB,2021-12-03 00:17:41,50.7236,-3.5275,44.2,93,40,3.44
217,Kautokeino,NO,2021-12-03 00:21:13,69.0125,23.0412,7.02,99,100,5.39
218,Tazovskiy,RU,2021-12-03 00:16:40,67.4667,78.7,2.79,95,100,13.78
219,Kitsuki,JP,2021-12-03 00:21:14,33.4167,131.6167,49.8,62,75,3.44
220,Palu,ID,2021-12-03 00:21:14,-0.8917,119.8707,84.79,66,99,1.01
221,Mogadishu,SO,2021-12-03 00:21:14,2.0371,45.3438,79.77,74,16,13.62
222,Lasa,IT,2021-12-03 00:21:15,46.6166,10.7002,29.14,94,99,6.78
223,Tambura,SS,2021-12-03 00:21:15,5.6,27.4667,73.94,66,100,0.29
224,Mount Gambier,AU,2021-12-03 00:21:15,-37.8333,140.7667,63.99,41,37,6.69
225,Garowe,SO,2021-12-03 00:21:16,8.4054,48.4845,66.38,75,2,7.61
226,Bonito,BR,2021-12-03 00:21:16,-21.1211,-56.4819,75.42,85,85,1.48
